Jurisdiction,County,Government Type,Subject,Ballot Measure Text,Election Results,Yes %,No %,Election Month,Election Year,Duration in Years Levy/Fee,Amount of Levy (Per $1000 A/V),Tax Amount,Bond Amount,Funding Type/Statutory Authority
Renton,King,City,Annexation,Annexation of West Hill Annexation Area.,Failed,44.26,55.74,November,2012,,,,,N/A
Renton,King,City,Library,"Advisory vote on which of two locations to use for a new downtown library. (Voters chose to use the site of an existing library, rather than a new location.)",Advisory,76.4,23.6,August,2012,,,,,N/A
Renton Regional Fire Authority,King,Fire Protection District,"Fire, EMS","Forming a new regional fire authority from the City of Renton and King County Fire District #25, funded by regional fire authority benefit charges (6 years) and a regular property tax (not to exceed $1.00).",Passed,62.64,37.36,April,2016,,1,,,Regional Fire Authority Benefit Charge (RCW 52.26.180)
Republic,Ferry,City,EMS,"Initial EMS levy (6 years, $0.47).",Passed,82.01,17.99,April,2014,6,0.47,,,EMS Levy (RCW 84.52.069)
Riverside Fire Authority â€“ Centralia/Lewis County Fire Protection District No. 12,"Grays Harbor, Lewis",Fire Protection District,EMS,"EMS levy renewal (6 years, $0.50).",Passed,70.13,29.87,April,2015,6,0.5,,,EMS Levy (RCW 84.52.069)
Riverside Fire Authority â€“ Centralia/Lewis County Fire Protection District No. 12,"Grays Harbor, Lewis",Fire Protection District,Fire,"Fire district excess levy (1 year, $0.49) for fire protection and rescue operations.",Passed,65.14,34.86,August,2014,1,0.49,,,Fire District Excess Levy (RCW 84.52.130)
Riverside Fire Authority â€“ Centralia/Lewis County Fire Protection District No. 12,"Grays Harbor, Lewis",Fire Protection District,Government Organization,"Dissolving the fire protection district, whose services were taken over by the Riverside Fire Authority four years earlier.",Passed,76.99,23.01,February,2012,,,,,N/A
Rockford,Spokane,City,Fire,Excess levy ($0.51) for fire protection services.,Passed,74.89,25.11,November,2016,1,0.51,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Rockford,Spokane,City,EMS,"Initial EMS levy (6 years, $0.50).",Passed,76.75,23.25,November,2016,6,0.5,,,EMS Levy (RCW 84.52.069)
Rockford,Spokane,City,Fire,"Excess levy ($0.51) for fire protection services, replacing an expiring excess levy.",Passed,69.94,30.06,November,2014,1,0.51,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Rockford,Spokane,City,Fire,"Excess levy ($0.51) for fire protection services, replacing an expiring levy.",Passed,72.62,27.38,November,2013,1,0.51,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Rockford,Spokane,City,Criminal Justice,Excess levy ($1.43) for law enforcement services.,Failed,30.22,69.78,February,2013,1,1.43,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Rockford,Spokane,City,Fire,"Excess levy ($0.51) for fire protection services, replacing an expiring levy.",Passed,68.6,31.4,April,2012,1,0.51,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Rockford,Spokane,City,Fire,Excess levy ($0.51) for fire protection services.,Failed,56.71,43.29,November,2011,1,0.51,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Rosalia,Whitman,City,Transportation,Excess levy ($3.35) for street maintenance and repair.,Failed,55.93,44.07,February,2017,1,3.35,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Rosalia,Whitman,City,Transportation,Excess levy ($0.34) for city street fund.,Passed,65.76,34.24,April,2016,1,0.34,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Rosalia,Whitman,City,"Annexation, Fire",Annexation into Whitman County Fire District #7.,Passed,77.78,22.22,April,2016,,,,,N/A
Rosalia,Whitman,City,Transportation,"Excess levy ($3.06) for city street fund, including street lights, paving, snow removal, capital improvements, and normal maintenance and operations.",Failed,58.93,41.07,February,2015,,3.06,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Rosalia,Whitman,City,Transportation,"Excess levy ($0.62) for street improvements, maintenance, and capital projects.",Passed,60.57,39.43,February,2014,1,0.62,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Rosalia,Whitman,City,Transportation,Excess levy ($0.62) for city street fund.,Passed,63.64,36.36,February,2013,1,0.62,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Rosalia Park and Recreation District No. 5,"Spokane, Whitman",Park District,Parks and Recreation,Excess levy ($0.41) for park and swimming pool operations and maintenance.,Passed,61.52,38.48,February,2017,1,0.41,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Rosalia Park and Recreation District No. 5,"Spokane, Whitman",Park District,Parks and Recreation,"Excess levy ($0.36) for swimming pool and park operations, maintenance, and capital projects.",Passed,65.62,34.38,November,2016,1,0.36,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Rosalia Park and Recreation District No. 5,"Spokane, Whitman",Park District,Parks and Recreation,Excess levy ($0.36) for park and swimming pool operation and maintenance.,Passed,68.73,31.27,April,2016,1,0.36,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Rosalia Park and Recreation District No. 5,"Spokane, Whitman",Park District,Parks and Recreation,Excess levy ($0.52) for park district maintenance and operations.,Passed,64.08,35.92,November,2015,1,0.52,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Rosalia Park and Recreation District No. 5,"Spokane, Whitman",Park District,Parks and Recreation,Excess levy ($0.52) for park district maintenance and operation.,Passed,61.04,38.96,February,2015,1,0.52,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Rosalia Park and Recreation District No. 5,"Spokane, Whitman",Park District,Parks and Recreation,Excess levy ($0.52) for park district maintenance and operation.,Passed,65.13,34.87,November,2013,1,0.52,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Rosalia Park and Recreation District No. 5,"Spokane, Whitman",Park District,Parks and Recreation,Excess levy ($0.52) for park district maintenance and operation.,Passed,64.11,35.89,November,2012,1,0.52,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Rosalia Park and Recreation District No. 5,"Spokane, Whitman",Park District,Parks and Recreation,Excess levy ($0.52) for park district maintenance and operation.,Passed,64.11,35.89,November,2012,1,0.52,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Rosalia Park and Recreation District No. 5,"Spokane, Whitman",Park District,Parks and Recreation,Excess levy ($0.47) for park district maintenance and operation.,Passed,60.85,39.15,November,2011,1,0.47,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Roy,Pierce,City,Criminal Justice,"Public safety sales tax (0.1%) for criminal justice and public safety programs, including safe streets.",Passed,60.51,39.49,November,2013,,,0.001,,Public Safety Sales Tax (RCW 82.14.450)
Sacheen Lake Sewer and Water District,Pend Oreille,Water-Sewer District,Water and Sewer,Excess levy ($0.78) for water-sewer operations and maintenance.,Passed,64.18,35.82,November,2017,1,0.78,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Sacheen Lake Sewer and Water District,Pend Oreille,Water-Sewer District,Water and Sewer,Excess levy ($0.78) for water-sewer district general fund.,Passed,64.45,35.55,November,2016,1,0.78,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Sacheen Lake Sewer and Water District,Pend Oreille,Water-Sewer District,Water and Sewer,Excess levy ($0.75) for water and sewer maintenance and operation.,Passed,68.79,31.21,November,2015,1,0.75,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Sacheen Lake Sewer and Water District,Pend Oreille,Water-Sewer District,Water and Sewer,Excess levy ($0.75) for water-sewer general fund.,Passed,70.79,29.21,November,2014,1,0.75,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Sacheen Lake Sewer and Water District,Pend Oreille,Water-Sewer District,Water and Sewer,Excess levy ($0.75) for water-sewer district maintenance and operations.,Passed,71.98,28.02,November,2013,1,0.75,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Sacheen Lake Sewer and Water District,Pend Oreille,Water-Sewer District,Water and Sewer,Excess levy ($0.85) for water-sewer district maintenance and operations.,Passed,66.02,33.98,November,2012,1,0.85,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Sammamish,King,City,Other,"Advisory vote on whether to allow initiatives and referendums. <em>(Voters supported initiative and referendum powers, which city council then adopted following the election.)</em>",Advisory,55.46,44.54,April,2015,,,,,N/A
Sammamish,King,City,Annexation,Annexation of Klahanie Potential Annexation Area.,Passed,86.05,13.95,April,2015,,,,,N/A
Sammamish,King,City,Other,Advisory vote on whether city should spend $25 million in existing tax revenues to develop a community center to be operated by a nonprofit.,Passed,53.65,46.35,November,2012,,,,,N/A
San Juan County,San Juan,County,"Criminal Justice, Parks and Recreation, Other","Single-year levy lid lift (increase of $0.18, 6 years) for senior services, parks, fairground, extension programs, public health, victim services, corrections, and other items, canceling an existing levy lid lift.",Passed,61.98,38.02,November,2014,Single-year (6 years),0.18,,,Levy Lid Lift (RCW 84.55.050)
San Juan County,San Juan,County,Other,"County charter amendment to rename the process for publicly initiated charter changes from ""initiative petition"" to ""charter amendment petition.""",Failed,34.92,65.08,November,2013,,,,,N/A
San Juan County,San Juan,County,Government Organization,"County charter amendment to remove references to the county administrator as CAO, grant the county council all administrative and executive powers not granted to other elected officials, and require the council to appoint a county manager.",Passed,56.62,43.38,November,2012,,,,,N/A
San Juan County,San Juan,County,Government Organization,County charter amendment stating that all county council and committee meetings must be open to the public except when a private executive session or closed session is allowed by law.,Passed,85.08,14.92,November,2012,,,,,N/A
San Juan County,San Juan,County,Government Organization,County charter amendment decreasing number of county councilmembers from 6 members elected by district to 3 at-large members residing in separate districts.,Passed,54.96,45.04,November,2012,,,,,N/A
San Juan County,San Juan,County,Other,"Initiative to prohibit the propagation, cultivation, raising, or growing of genetically modified plants and animals within the county.",Passed,62.11,37.89,November,2012,,,,,N/A
San Juan County,San Juan,County,Criminal Justice,Public safety sales tax (0.3%) for existing criminal justice and public safety services.,Passed,52.74,47.26,August,2012,,,0.003,,Public Safety Sales Tax (RCW 82.14.450)
San Juan County,San Juan,County,Other,Extending the real estate excise tax (0.1%) for an additional 12 years for acquisition and maintenance of conservation areas.,Passed,52.8,47.2,November,2011,12,0.001,,,Conservation Area REET (RCW 82.46.070)
San Juan County,San Juan,County,Other,,Failed,31.97,68.03,November,2011,15,,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
San Juan County Fire Protection District No. 4 - Lopez Island,San Juan,Fire Protection District,"Fire, EMS","Single-year levy lid lift (increase of $0.21 to $0.83, 1 year) to maintain and improve fire and EMS.",Passed,78.22,21.78,February,2013,Single-year (1 year),0.83,,,Levy Lid Lift (RCW 84.55.050)
San Juan County Fire Protection District No.2 - Orcas Island Fire and Rescue,San Juan,Fire Protection District,"Government Organization, Fire",Increasing number of fire commissioners from 3 to 5.,Passed,70.17,29.83,February,2017,,,,,N/A
San Juan County Fire Protection District No.2 - Orcas Island Fire and Rescue,San Juan,Fire Protection District,Fire,"Single-year levy lid lift (to $1.05, 10 years).",Passed,62.22,37.78,April,2014,Single-year (10 years),1.05,,,Levy Lid Lift (RCW 84.55.050)
San Juan County Hospital District No. 1,San Juan,Public Hospital District,EMS,"Initial EMS levy (6 years, $0.50).",Passed,76.78,23.22,August,2016,6,0.5,,,EMS Levy (RCW 84.52.069)
San Juan County Hospital District No. 1,San Juan,Public Hospital District,EMS,"EMS levy renewal (6 years, $0.50), canceling the last two years of an existing 6-year EMS levy.",Failed,50.17,49.83,November,2014,6,0.5,,,EMS Levy (RCW 84.52.069)
San Juan County Hospital District No. 1,San Juan,Public Hospital District,EMS,"Permanent EMS levy ($0.50), canceling the current six-year EMS levy.",Failed,55.02,44.98,February,2014,Permanent,,,,EMS Levy (RCW 84.52.069)
San Juan County Public Hospital District No. 2,San Juan,Public Hospital District,Hospital,Forming a new public hospital district on Lopez Island.,Passed,84.77,15.23,April,2017,,,,,N/A
San Juan Island Park and Recreation District,San Juan,Park District,Parks and Recreation,"Single-year levy lid lift (increase of $0.39, 6 years) for recreation programs, school sports programs, and maintenance and operation of Friday Harbor Fields.",Passed,69.32,30.68,April,2015,Single-year (6 years),0.385,,,Levy Lid Lift (RCW 84.55.050)
SeaTac,King,City,Other,"Initiative to increase the minimum wage for certain hospitality and transportation workers to $15 per hour, adjusted annually for inflation; establish mandatory sick leave requirements, and establish other labor standards.",Passed,50.64,49.36,November,2013,,,,,N/A
SeaTac,King,City,Government Organization,Changing form of government from council-manager to mayor-council.,Failed,46.46,53.54,November,2011,,,,,N/A
Seattle,King,City,Other,Initiative to provide additional workplace protections for hotel employees.,Passed,76.59,23.41,November,2016,,,,,N/A
Seattle,King,City,Parks and Recreation,"Initiative to establish a PDA to build and operate an elevated waterfront park, incorporating part of the Alaskan Way Viaduct.",Failed,17.13,82.87,August,2016,,,,,N/A
Seattle,King,City,Affordable Housing,"Single-year levy lid lift (increase of $0.25 to $3.60, 7 years) for affordable housing and homelessness prevention and reduction programs.",Passed,70.6,29.4,August,2016,Single-year (7 years),0.25,,,Levy Lid Lift (RCW 84.55.050)
Seattle,King,City,Other,"Initiative to create publicly funded city elections, including campaign contribution limits and a voluntary public financing voucher system, funded by a single-year levy lid lift (increase of $0.02, 10 years).",Passed,63.14,36.86,November,2015,Single-year (10 years),0.02,,,Levy Lid Lift (RCW 84.55.050)
Seattle,King,City,Transportation,"Single-year levy lid lift (increase of $0.62 to $3.60, 9 years) for wide variety of transportation projects.",Passed,58.67,41.33,November,2015,Single-year (9 years),3.6,,,Levy Lid Lift (RCW 84.55.050)
Seattle,King,City,Other,"Two-part proposition to establish affordable childcare. Option 1A (citizen initiative) would seek to limit childcare costs to 10% of family income and establish a $15 minimum wage for childcare workers, but without a specific funding source. Option 1B (proposed by mayor and city council) would create a 4-year pilot program to develop affordable preschool, funded by a single-year levy lid lift (increase of $0.11, 4 years). <em>(Voters supported affordable childcare and selected Option 1B.)</em>",Passed,68.2,31.8,November,2014,Single-year (4 years),0.11,,,Levy Lid Lift (RCW 84.55.050)
